número de nodos,total de operações
572,5778248
573,5798389
574,5818570
575,5838781
576,5859032
577,5879313
578,5899634
579,5919985
580,5940376
581,5960797
582,5981258
583,6001749
584,6022280
585,6042841
586,6063442
587,6084073
588,6104744
589,6125445
590,6146186
591,6166957
592,6187768
593,6208609
594,6229490
595,6250401
596,6271352
597,6292333
598,6313354
599,6334405
600,6355496
601,6376617
602,6397778
603,6418969
604,6440200
605,6461461
606,6482762
607,6504093
608,6525464
609,6546865
610,6568306
611,6589777
612,6611288
613,6632829
614,6654410
615,6676021
616,6697672
617,6719353
618,6741074
619,6762825
620,6784616
621,6806437
622,6828298
623,6850189
624,6872120
625,6894081
626,6916082
627,6938113
628,6960184
629,6982285
630,7004426
631,7026597
632,7048808
633,7071049
634,7093330
635,7115641
636,7137992
637,7160373
638,7182794
639,7205245
640,7227736
641,7250257
642,7272818
643,7295409
644,7318040
645,7340701
646,7363402
647,7386133
648,7408904
649,7431705
650,7454546
651,7477417
652,7500328
653,7523269
654,7546250
655,7569261
656,7592312
657,7615393
658,7638514
659,7661665
660,7684856
661,7708077
662,7731338
663,7754629
664,7777960
665,7801321
666,7824722
667,7848153
668,7871624
669,7895125
670,7918666
671,7942237
672,7965848
673,7989489
674,8013170
675,8036881
676,8060632
677,8084413
678,8108234
679,8132085
680,8155976
681,8179897
682,8203858
683,8227849
684,8251880
685,8275941
686,8300042
687,8324173
688,8348344
689,8372545
690,8396786
691,8421057
692,8445368
693,8469709
694,8494090
695,8518501
696,8542952
697,8567433
698,8591954
699,8616505
700,8641096
701,8665717
702,8690378
703,8715069
704,8739800
705,8764561
706,8789362
707,8814193
708,8839064
709,8863965
710,8888906
711,8913877
712,8938888
713,8963929
714,8989010
715,9014121
716,9039272
717,9064453
718,9089674
719,9114925
720,9140216
721,9165537
722,9190898
723,9216289
724,9241720
725,9267181
726,9292682
727,9318213
728,9343784
729,9369385
730,9395026
731,9420697
732,9446408
733,9472149
734,9497930
735,9523741
736,9549592
737,9575473
738,9601394
739,9627345
740,9653336
741,9679357
742,9705418
743,9731509
744,9757640
745,9783801
746,9810002
747,9836233
748,9862504
749,9888805
750,9915146
751,9941517
752,9967928
753,9994369
754,10020850
755,10047361
756,10073912
757,10100493
758,10127114
759,10153765
760,10180456
761,10207177
762,10233938
763,10260729
764,10287560
765,10314421
766,10341322
767,10368253
768,10395224
769,10422225
770,10449266
771,10476337
772,10503448
773,10530589
774,10557770
775,10584981
776,10612232
777,10639513
778,10666834
779,10694185
780,10721576
781,10748997
782,10776458
783,10803949
784,10831480
785,10859041
786,10886642
787,10914273
788,10941944
789,10969645
790,10997386
791,11025157
792,11052968
793,11080809
794,11108690
795,11136601
796,11164552
797,11192533
798,11220554
799,11248605
800,11276696
801,11304817
802,11332978
803,11361169
804,11389400
805,11417661
806,11445962
807,11474293
808,11502664
809,11531065
810,11559506
811,11587977
812,11616488
813,11645029
814,11673610
815,11702221
816,11730872
817,11759553
818,11788274
819,11817025
820,11845816
821,11874637
822,11903498
823,11932389
824,11961320
825,11990281
826,12019282
827,12048313
828,12077384
829,12106485
830,12135626
831,12164797
832,12194008
833,12223249
834,12252530
835,12281841
836,12311192
837,12340573
838,12369994
839,12399445
840,12428936
841,12458457
842,12488018
843,12517609
844,12547240
845,12576901
846,12606602
847,12636333
848,12666104
849,12695905
850,12725746
851,12755617
852,12785528
853,12815469
854,12845450
855,12875461
856,12905512
857,12935593
858,12965714
859,12995865
860,13026056
861,13056277
862,13086538
863,13116829
864,13147160
865,13177521
866,13207922
867,13238353
868,13268824
869,13299325
870,13329866
871,13360437
872,13391048
873,13421689
874,13452370
875,13483081
876,13513832
877,13544613
878,13575434
879,13606285
880,13637176
881,13668097
882,13699058
883,13730049
884,13761080
885,13792141
886,13823242
887,13854373
888,13885544
889,13916745
890,13947986
891,13979257
892,14010568
893,14041909
894,14073290
895,14104701
896,14136152
897,14167633
898,14199154
899,14230705
900,14262296
901,14293917
902,14325578
903,14357269
904,14389000
905,14420761
906,14452562
907,14484393
908,14516264
909,14548165
910,14580106
911,14612077
912,14644088
913,14676129
914,14708210
915,14740321
916,14772472
917,14804653
918,14836874
919,14869125
920,14901416
921,14933737
922,14966098
923,14998489
924,15030920
925,15063381
926,15095882
927,15128413
928,15160984
929,15193585
930,15226226
931,15258897
932,15291608
933,15324349
934,15357130
935,15389941
936,15422792
937,15455673
938,15488594
939,15521545
940,15554536
941,15587557
942,15620618
943,15653709
944,15686840
945,15720001
946,15753202
947,15786433
948,15819704
949,15853005
950,15886346
951,15919717
952,15953128
953,15986569
954,16020050
955,16053561
956,16087112
957,16120693
958,16154314
959,16187965
960,16221656
961,16255377
962,16289138
963,16322929
964,16356760
965,16390621
966,16424522
967,16458453
968,16492424
969,16526425
970,16560466
971,16594537
972,16628648
973,16662789
974,16696970
975,16731181
976,16765432
977,16799713
978,16834034
979,16868385
980,16902776
981,16937197
982,16971658
983,17006149
984,17040680
985,17075241
986,17109842
987,17144473
988,17179144
989,17213845
990,17248586
991,17283357
992,17318168
993,17353009
994,17387890
995,17422801
996,17457752
997,17492733
998,17527754
999,17562805
1000,17597896
1001,17633017
1002,17668178
1003,17703369
1004,17738600
1005,17773861
1006,17809162
1007,17844493
1008,17879864
1009,17915265
1010,17950706
1011,17986177
1012,18021688
1013,18057229
1014,18092810
1015,18128421
1016,18164072
1017,18199753
1018,18235474
1019,18271225
1020,18307016
1021,18342837
1022,18378698
1023,18414589
1024,18450528
1025,18486497
1026,18522506
1027,18558545
1028,18594624
1029,18630733
1030,18666882
1031,18703061
1032,18739280
1033,18775529
1034,18811818
1035,18848137
1036,18884496
1037,18920885
1038,18957314
1039,18993773
1040,19030272
1041,19066801
1042,19103370
1043,19139969
1044,19176608
1045,19213277
1046,19249986
1047,19286725
1048,19323504
1049,19360313
1050,19397162
1051,19434041
1052,19470960
1053,19507909
1054,19544898
1055,19581917
1056,19618976
1057,19656065
1058,19693194
1059,19730353
1060,19767552
1061,19804781
1062,19842050
1063,19879349
1064,19916688
1065,19954057
1066,19991466
1067,20028905
1068,20066384
1069,20103893
1070,20141442
1071,20179021
1072,20216640
1073,20254289
1074,20291978
1075,20329697
1076,20367456
1077,20405245
1078,20443074
1079,20480933
1080,20518832
1081,20556761
1082,20594730
1083,20632729
1084,20670768
1085,20708837
1086,20746946
1087,20785085
1088,20823264
1089,20861473
1090,20899722
1091,20938001
1092,20976320
1093,21014669
1094,21053058
1095,21091477
1096,21129936
1097,21168425
1098,21206954
1099,21245513
1100,21284112
1101,21322741
1102,21361410
1103,21400109
1104,21438848
1105,21477617
1106,21516426
1107,21555265
1108,21594144
1109,21633053
1110,21672002
1111,21710981
1112,21750000
1113,21789049
1114,21828138
1115,21867257
1116,21906416
1117,21945605
1118,21984834
1119,22024093
1120,22063392
1121,22102721
1122,22142090
1123,22181489
1124,22220928
1125,22260397
1126,22299906
1127,22339445
1128,22379024
1129,22418633
1130,22458282
1131,22497961
1132,22537680
1133,22577429
1134,22617218
1135,22657037
1136,22696896
1137,22736785
1138,22776714
1139,22816673
1140,22856672
1141,22896701
1142,22936770
1143,22976869
1144,23017008
1145,23057177
1146,23097386
1147,23137625
1148,23177904
1149,23218213
1150,23258562
1151,23298941
1152,23339360
1153,23379809
1154,23420298
1155,23460817
1156,23501376
1157,23541965
1158,23582594
1159,23623253
1160,23663952
1161,23704681
1162,23745450
1163,23786249
1164,23827088
1165,23867957
1166,23908866
1167,23949805
1168,23990784
1169,24031793
1170,24072842
1171,24113921
1172,24155040
1173,24196189
1174,24237378
1175,24278597
1176,24319856
1177,24361145
1178,24402474
1179,24443833
1180,24485232
1181,24526661
1182,24568130
1183,24609629
1184,24651168
1185,24692737
1186,24734346
1187,24775985
1188,24817664
1189,24859373
1190,24901122
1191,24942901
1192,24984720
1193,25026569
1194,25068458
1195,25110377
1196,25152336
1197,25194325
1198,25236354
1199,25278413
1200,25320512
1201,25362641
1202,25404810
1203,25447009
1204,25489248
1205,25531517
1206,25573826
1207,25616165
1208,25658544
1209,25700953
1210,25743402
1211,25785881
1212,25828400
1213,25870949
1214,25913538
1215,25956157
1216,25998816
1217,26041505
1218,26084234
1219,26126993
1220,26169792
1221,26212621
1222,26255490
1223,26298389
1224,26341328
1225,26384297
1226,26427306
1227,26470345
1228,26513424
1229,26556533
1230,26599682
1231,26642861
1232,26686080
1233,26729329
1234,26772618
1235,26815937
1236,26859296
1237,26902685
1238,26946114
1239,26989573
1240,27033072
1241,27076601
1242,27120170
1243,27163769
1244,27207408
1245,27251077
1246,27294786
1247,27338525
1248,27382304
1249,27426113
1250,27469962
1251,27513841
1252,27557760
1253,27601709
1254,27645698
1255,27689717
1256,27733776
1257,27777865
1258,27821994
1259,27866153
1260,27910352
1261,27954581
1262,27998850
1263,28043149
1264,28087488
1265,28131857
1266,28176266
1267,28220705
1268,28265184
1269,28309693
1270,28354242
1271,28398821
1272,28443440
1273,28488089
1274,28532778
1275,28577497
1276,28622256
1277,28667045
1278,28711874
1279,28756733
1280,28801632
1281,28846561
1282,28891530
1283,28936529
1284,28981568
1285,29026637
1286,29071746
1287,29116885
1288,29162064
1289,29207273
1290,29252522
1291,29297801
1292,29343120
1293,29388469
1294,29433858
1295,29479277
1296,29524736
1297,29570225
1298,29615754
1299,29661313
1300,29706912
1301,29752541
1302,29798210
1303,29843909
1304,29889648
