número de nodos;total de operações
 406; 393426110
 407; 396331897
 408; 399251944
 409; 402186131
 410; 405134648
 411; 408097515
 412; 411074882
 413; 414066809
 414; 417073376
 415; 420094283
 416; 423129730
 417; 426179767
 418; 429244374
 419; 432323601
 420; 435417418
 421; 438525815
 422; 441649012
 423; 444787279
 424; 447940186
 425; 451108063
 426; 454290880
 427; 457488517
 428; 460701114
 429; 463928671
 430; 467171328
 431; 470428985
 432; 473701772
 433; 476989549
 434; 480292264
 435; 483610179
 436; 486943374
 437; 490291689
 438; 493655234
 439; 497034179
 440; 500428574
 441; 503838319
 442; 507263414
 443; 510704069
 444; 514160134
 445; 517631839
 446; 521119224
 447; 524622299
 448; 528141074
 449; 531675529
 450; 535225734
 451; 538791707
 452; 542373690
 453; 545971563
 454; 549585346
 455; 553215009
 456; 556860452
 457; 560521825
 458; 564199218
 459; 567892681
 460; 571602374
 461; 575328357
 462; 579070700
 463; 582829333
 464; 586604366
 465; 590395649
 466; 594203332
 467; 598027355
 468; 601867808
 469; 605724681
 470; 609597984
 471; 613487817
 472; 617394100
 473; 621316653
 474; 625255786
 475; 629211529
 476; 633183922
 477; 637173045
 478; 641178908
 479; 645201321
 480; 649240624
 481; 653296817
 482; 657369880
 483; 661459893
 484; 665566766
 485; 669690459
 486; 673831182
 487; 677988975
 488; 682164018
 489; 686356201
 490; 690565584
 491; 694792187
 492; 699036080
 493; 703297233
 494; 707575656
 495; 711871619
 496; 716184772
 497; 720515405
 498; 724863468
 499; 729228821
 500; 733611474
 501; 738011827
 502; 742429760
 503; 746865313
 504; 751318476
 505; 755789179
 506; 760277542
 507; 764783825
 508; 769307928
 509; 773849971
 510; 778409794
 511; 782987547
 512; 787583130
 513; 792196663
 514; 796827976
 515; 801477139
 516; 806144242
 517; 810829625
 518; 815532988
 519; 820254461
 520; 824994084
 521; 829751767
 522; 834527810
 523; 839322043
 524; 844134446
 525; 848965329
 526; 853814722
 527; 858682525
 528; 863568758
 529; 868473711
 530; 873397314
 531; 878339577
 532; 883300600
 533; 888280233
 534; 893278636
 535; 898295609
 536; 903331152
 537; 908385325
 538; 913458288
 539; 918549961
 540; 923660454
 541; 928790007
 542; 933938790
 543; 939106813
 544; 944293796
 545; 949499669
 546; 954
